time (UTC),latitude (degrees_north),longitude (degrees_east),cruise,haul_no,vessel,station,catch,species_code,common_name,sci_name,species_group,maturity,species_notes,aphiaid,match_type,lsid,station_latitude (degrees_north),station_longitude (degrees_east),ctd_index,station_bottom_depth (meters),area,strata,tdr_depth (meters),depth_strata,bottom_depth (meters),station_active,station_notes
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,0,240,THREESPINE STICKLEBACK,Gasterosteus aculeatus,Fish,U,NULL,126505,exact,urn:lsid:marinespecies.org:taxname:126505,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,0,243,WHITE CROAKER,Genyonemus lineatus,Fish,U,NULL,280830,exact,urn:lsid:marinespecies.org:taxname:280830,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,0,253,REX SOLE,Glyptocephalus zachirus,Flatfish,A,NULL,274287,exact,urn:lsid:marinespecies.org:taxname:274287,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,0,253,REX SOLE,Glyptocephalus zachirus,Flatfish,Y,NULL,274287,exact,urn:lsid:marinespecies.org:taxname:274287,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,6,261,GOBY,Gobiidae,Fish,U,NULL,125537,exact,urn:lsid:marinespecies.org:taxname:125537,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,0,272,BROWN IRISH LORD,Hemilepidotus spinosus,Cottid,A,NULL,279413,exact,urn:lsid:marinespecies.org:taxname:279413,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,2,279,GREENLING,Hexagrammidae,Other Groundfish,Y,NULL,154415,exact,urn:lsid:marinespecies.org:taxname:154415,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,0,285,SIXGILL SHARK,Hexanchus griseus,Elasmobranch,U,NULL,105833,exact,urn:lsid:marinespecies.org:taxname:105833,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,0,291,RATFISH,Hydrolagus colliei,Fish,U,NULL,271406,exact,urn:lsid:marinespecies.org:taxname:271406,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,0,315,MEDUSAFISH,Icichthys lockingtoni,Fish,U,NULL,279354,exact,urn:lsid:marinespecies.org:taxname:279354,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,0,317,RAGFISH,Icosteus aenigmaticus,Fish,U,NULL,281153,exact,urn:lsid:marinespecies.org:taxname:281153,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,0,334,LAMPREY,Petromyzontidae,Fish,U,NULL,101163,exact,urn:lsid:marinespecies.org:taxname:101163,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,0,345,CALIFORNIA SMOOTHTONGUE,Leuroglossus stilbius,Deep-Sea Smelt,U,NULL,313514,exact,urn:lsid:marinespecies.org:taxname:313514,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,0,346,SNAILFISH,Liparidae,Fish,U,NULL,234519,exact,urn:lsid:marinespecies.org:taxname:234519,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,0,358,BLACKMOUTH EELPOUT,Lycodapus fierasfer,Fish,U,NULL,279389,exact,urn:lsid:marinespecies.org:taxname:279389,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,0,359,PALLID EELPOUT,Lycodapus mandibularis,Fish,U,NULL,279391,exact,urn:lsid:marinespecies.org:taxname:279391,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
